statename,pct,,,
Alabama,31.1,,,
Alaska,27.7,,,
Arizona,24.4,,,
Arkansas,33.2,,,
California,22.2,,,
Colorado,19.1,,,
Connecticut,24,,,
Delaware,29.4,,,
District of Columbia,9.9,,,
Florida,25.2,,,
Georgia,28,,,
Guam,21.1,,,
Hawaii,17.9,,,
Idaho,28.1,,,
Illinois,28.3,,,
Indiana,31.3,,,
Iowa,31.6,,,
Kansas,31,,,
Kentucky,32.9,,,
Louisiana,31.9,,,
Maine,29.2,,,
Maryland,26.7,,,
Massachusetts,23,,,
Michigan,30.2,,,
Minnesota,26.5,,,
Mississippi,31.5,,,
Missouri,30.4,,,
Montana,23.8,,,
Nebraska,30,,,
Nevada,26.3,,,
New Hampshire,27.3,,,
New Jersey,25.6,,,
New Mexico,22.8,,,
New York,24.9,,,
North Carolina,27.2,,,
North Dakota,31.3,,,
Ohio,30.5,,,
Oklahoma,32.5,,,
Oregon,28.1,,,
Pennsylvania,29.5,,,
Puerto Rico,45.4,,,
Rhode Island,26.4,,,
South Carolina,28.3,,,
South Dakota,29.6,,,
Tennessee,31.5,,,
Texas,27.9,,,
Utah,24.5,,,
Vermont,24.8,,,
Virginia,26.7,,,
Washington,27.7,,,
West Virginia,35.2,,,
Wisconsin,29.8,,,
Wyoming,28,,,
